artist,artist_type,artist_country,artist_tags
Rata Blanca,Group,AR,"rock, heavy metal, metal, hard rock, power metal, latin rock"
Ray Price,Person,US,"singer-songwriter, country"
Red Hot Chili Peppers,Group,US,"rock, alternative rock, 80s, heavy metal, 90s, rap, metal, american, punk rock, crossover, hard rock, usa, indie rock, funk, funk rock, alternative, psychedelic rock, pop rock, funk metal, live, rap rock, 00s, dvd, pop and chart, 10s, funk rock tributo"
Ritviz,Person,,
Rob Zombie,Person,US,"rock, industrial, industrial metal, metal, vegan, rock and indie, 2008 universal fire victim, iswcs pending"
Robert Hood,Person,US,
Robert Schumann,Person,DE,"classical, german, german composer, composer, romantic, to clean up, romantic classical"
Roberto Goyeneche,Person,AR,"tango singer, tango"
Robin Schulz,Person,DE,"house, deep house, dance-pop, edm, tropical house"
Rolf Zuckowski,Person,DE,german
Royal Blood,Group,GB,"rock, alternative rock, stoner rock, grunge, hard rock, indie rock, blues rock, garage rock, punk blues"
S3RL,Person,AU,"happy hardcore, edm, uk hardcore, au hardcore, _download mixes"
SLANDER,Group,US,"electronic, dubstep"
Salim–Sulaiman,Group,IN,
Sam Smith,Person,GB,"pop, soul, adult contemporary, blue-eyed soul, english, queer, pop soul, r&b, contemporary r&b, synth funk, alternative r&b, lgbtqi, nuno, alliteration"
Sara Kays,Person,US,"pop, indie pop"
"Sarah, the Illstrumentalist",,,
Scooter,Group,DE,"rock, trance, electronic, hardcore, rave, german, dance, techno, eurodance, hardcore techno, english, european, happy hardcore, scooter, hardstyle, jumpstyle"
Scorpions,Group,DE,"rock, progressive rock, 70s, hairmetal, 80s, heavy metal, krautrock, german, metal, hard rock, power metal, classic rock, acoustic rock, pop rock, glam metal, european, aor, 80's, 70's, loriel, aln-sh, alemanha"
Sean Paul,Person,JM,"pop, hip hop, reggae, electropop, rnb, dance-pop, dancehall, reggaeton, hip hop rnb and dance hall, ragga, r&b, pop reggae, gg"
Sebastian Yatra,Person,CO,"pop, latin pop, latin, reggaeton, colombian, international, edm, teen pop, r&b, latin urban, latin ballad, colombian pop"
Seiko Matsuda,,,
Sergei Lemeshev,,,
